epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,12768.6,0.89406,2.74007,1.89373,0.79407,0.60318,0.70115,0.44754,0.8318,1.82175,1.7885,0.018012,0.006004,0.018012,0.006004,0.018012,0.006004,0.018012,0.006004
62,12976.6,0.88672,2.6832,1.88483,0.79474,0.60209,0.70014,0.44728,0.83093,1.81799,1.78797,0.0178122,0.0059374,0.0178122,0.0059374,0.0178122,0.0059374,0.0178122,0.0059374
63,13183.8,0.8862,2.63633,1.88476,0.80134,0.60549,0.70282,0.45044,0.82748,1.80851,1.7852,0.0176124,0.0058708,0.0176124,0.0058708,0.0176124,0.0058708,0.0176124,0.0058708
64,13391.3,0.88206,2.62418,1.8823,0.80708,0.60428,0.70529,0.45369,0.82486,1.79272,1.78153,0.0174126,0.0058042,0.0174126,0.0058042,0.0174126,0.0058042,0.0174126,0.0058042
65,13599,0.88883,2.65411,1.88423,0.80122,0.61264,0.7061,0.45516,0.82349,1.78588,1.77761,0.0172128,0.0057376,0.0172128,0.0057376,0.0172128,0.0057376,0.0172128,0.0057376
66,13806.3,0.88612,2.66188,1.87869,0.79979,0.61205,0.70843,0.45664,0.82246,1.77788,1.77449,0.017013,0.005671,0.017013,0.005671,0.017013,0.005671,0.017013,0.005671
67,14014,0.88481,2.62921,1.88152,0.80583,0.61101,0.7084,0.45785,0.82092,1.77128,1.77144,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044
68,14221.3,0.87841,2.63292,1.87521,0.81185,0.60587,0.70812,0.45827,0.81934,1.76398,1.76889,0.0166134,0.0055378,0.0166134,0.0055378,0.0166134,0.0055378,0.0166134,0.0055378
69,14428.5,0.87821,2.60882,1.8738,0.81715,0.60572,0.71045,0.46009,0.81836,1.76036,1.7675,0.0164136,0.0054712,0.0164136,0.0054712,0.0164136,0.0054712,0.0164136,0.0054712
70,14635.7,0.8769,2.59293,1.86481,0.81821,0.60883,0.71328,0.46283,0.81681,1.75454,1.76435,0.0162138,0.0054046,0.0162138,0.0054046,0.0162138,0.0054046,0.0162138,0.0054046
71,14843.1,0.87606,2.57815,1.86906,0.81011,0.61864,0.71465,0.46488,0.8148,1.7447,1.76007,0.016014,0.005338,0.016014,0.005338,0.016014,0.005338,0.016014,0.005338
72,15050.5,0.8738,2.5955,1.86666,0.81506,0.61803,0.71702,0.46748,0.813,1.73842,1.758,0.0158142,0.0052714,0.0158142,0.0052714,0.0158142,0.0052714,0.0158142,0.0052714
73,15258.7,0.86646,2.57161,1.86331,0.82276,0.61343,0.71889,0.47089,0.81046,1.73472,1.75559,0.0156144,0.0052048,0.0156144,0.0052048,0.0156144,0.0052048,0.0156144,0.0052048
74,15466.4,0.87004,2.55755,1.85203,0.81287,0.62141,0.71869,0.47116,0.80948,1.72914,1.7538,0.0154146,0.0051382,0.0154146,0.0051382,0.0154146,0.0051382,0.0154146,0.0051382
75,15673.9,0.86961,2.52397,1.85177,0.81776,0.62456,0.72019,0.47281,0.80696,1.72032,1.75066,0.0152148,0.0050716,0.0152148,0.0050716,0.0152148,0.0050716,0.0152148,0.0050716
76,15881.3,0.86102,2.53181,1.84272,0.82938,0.61934,0.72071,0.47387,0.80383,1.71386,1.74566,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005
77,16088.9,0.86665,2.56341,1.85284,0.82616,0.61905,0.72019,0.47482,0.80189,1.70458,1.74329,0.0148152,0.0049384,0.0148152,0.0049384,0.0148152,0.0049384,0.0148152,0.0049384
78,16296.1,0.8584,2.55721,1.84406,0.82963,0.61777,0.72072,0.4764,0.79972,1.69925,1.74104,0.0146154,0.0048718,0.0146154,0.0048718,0.0146154,0.0048718,0.0146154,0.0048718
79,16503.3,0.8672,2.54836,1.85365,0.83323,0.61908,0.72244,0.47801,0.79829,1.69238,1.73928,0.0144156,0.0048052,0.0144156,0.0048052,0.0144156,0.0048052,0.0144156,0.0048052
